Singular value 0,Singular value 1,Singular value 2,Singular value 3,Singular value 4,Singular value 5,Singular value 6,Singular value 7,x
0.0004923826,0.00077747455,0.00026109576,0.00014266095,0.00034448993,0.00072929607,0.00010952235,0.00054453034,0
0.000117273004,0.0021087334,0.0006044524,0.0010387981,0.000871167,0.0012891953,0.0014939549,0.0010285836,1
0.00041415676,0.00059706724,6.333304e-05,0.00034641442,0.001652456,0.0010800776,0.0011332715,0.0007967893,2
0.00013995539,4.4968747e-05,0.00034156724,0.00033638635,0.0007156784,0.00035502226,0.0017080446,0.0010176963,3
0.00047576992,0.00052430126,0.00014984874,0.0005351053,9.970353e-05,0.00038228402,0.0020539272,0.0047046314,4
0.00036807082,0.0013124149,0.00032750936,0.0009415114,0.0012749728,0.0013822594,0.0033920424,0.00077412,5
0.00041384506,0.00026958343,0.0008608698,0.0005786051,0.000710005,0.00022714982,0.0021050589,0.0014175785,6
0.00014197608,0.0010731705,0.00077890366,0.0011380408,0.002761398,0.0013946324,0.0024201078,0.004058583,7
0.00044501133,0.0004165262,0.00013233854,0.00057126454,0.00062986766,0.00076513476,0.0012668835,0.00027229995,8
0.12767416,0.044271484,0.115792036,0.06054947,0.0007801553,0.002328883,0.0011428733,0.0021967287,9
0.0005942277,0.00066603575,0.0011082051,0.00042294915,0.00062905514,0.00039185936,0.0017267099,0.0016221238,10
0.00043693618,0.00012419377,0.0008644505,0.00027422482,0.00067591725,0.00032051886,0.0028596218,0.0013290773,11
0.0006158321,0.0005017642,0.0002845096,0.000168439,0.0011460086,0.00016752184,0.0035466817,0.0004404708,12
0.0006036164,0.0005090119,0.0002785865,0.00032494438,0.0007621498,0.0006839868,0.002481825,0.0022777242,13
0.00047506724,0.00046269543,0.00053667283,7.1161536e-05,0.0010580415,0.00032917186,0.000575368,0.0039885286,14
0.00062427024,0.0010559083,0.00053763506,0.00039069416,0.00038858753,0.00019609758,0.0032796015,0.003846361,15
0.00036475254,0.00044899937,0.00046293566,0.00058835256,0.0019585188,0.001688067,0.0008850298,0.0011660127,16
0.0002049315,0.00017553123,0.00021814516,0.00012273813,0.00065548177,0.00014460797,0.00018601918,0.0005887534,17
0.00095133396,0.00084052666,0.0011513364,0.00071913085,0.00067148305,0.00019088411,0.00061354233,0.0014383425,18
